it's a PRI file!
[mrm_decn_info]: size: 0, offset: 4376
[mrm_pridescex]: size: 4376, offset: 400
[mrm_hschemaex]: size: 4776, offset: 54576
[mrm_res_map2_]: size: 59352, offset: 93280
[mrm_dataitem]: size: 152632, offset: 2784
[mrm_dataitem]: size: 155416, offset: 3200
[mrm_dataitem]: size: 158616, offset: 1888
[mrm_dataitem]: size: 160504, offset: 3360
[mrm_dataitem]: size: 163864, offset: 3648
[mrm_dataitem]: size: 167512, offset: 4552
[mrm_dataitem]: size: 172064, offset: 2664
[mrm_dataitem]: size: 174728, offset: 2056
[mrm_dataitem]: size: 176784, offset: 3000
[mrm_dataitem]: size: 179784, offset: 2720
[mrm_dataitem]: size: 182504, offset: 2808
[mrm_dataitem]: size: 185312, offset: 2760
[mrm_dataitem]: size: 188072, offset: 2512
[mrm_dataitem]: size: 190584, offset: 2768
[mrm_dataitem]: size: 193352, offset: 4888
[mrm_dataitem]: size: 198240, offset: 2240
[mrm_dataitem]: size: 200480, offset: 2672
[mrm_dataitem]: size: 203152, offset: 1016
[mrm_dataitem]: size: 204168, offset: 2584
[mrm_dataitem]: size: 206752, offset: 2624
[mrm_dataitem]: size: 209376, offset: 3544
[mrm_dataitem]: size: 212920, offset: 2648
[mrm_dataitem]: size: 215568, offset: 2448
[mrm_dataitem]: size: 218016, offset: 2936
[mrm_dataitem]: size: 220952, offset: 1368
[mrm_dataitem]: size: 222320, offset: 2088
[mrm_dataitem]: size: 224408, offset: 3176
[mrm_dataitem]: size: 227584, offset: 4024
[mrm_dataitem]: size: 231608, offset: 1864
[mrm_dataitem]: size: 233472, offset: 2456
[mrm_dataitem]: size: 235928, offset: 2560
[mrm_dataitem]: size: 238488, offset: 2768
[mrm_dataitem]: size: 241256, offset: 4600
[mrm_dataitem]: size: 245856, offset: 4104
[mrm_dataitem]: size: 249960, offset: 4352
[mrm_dataitem]: size: 254312, offset: 4432
[mrm_dataitem]: size: 258744, offset: 2472
[mrm_dataitem]: size: 261216, offset: 4168
[mrm_dataitem]: size: 265384, offset: 2888
[mrm_dataitem]: size: 268272, offset: 2912
[mrm_dataitem]: size: 271184, offset: 4168
[mrm_dataitem]: size: 275352, offset: 4808
[mrm_dataitem]: size: 280160, offset: 1984
[mrm_dataitem]: size: 282144, offset: 2208
[mrm_dataitem]: size: 284352, offset: 2368
[mrm_dataitem]: size: 286720, offset: 1472
[mrm_dataitem]: size: 288192, offset: 2704
[mrm_dataitem]: size: 290896, offset: 2464
[mrm_dataitem]: size: 293360, offset: 2008
[mrm_dataitem]: size: 295368, offset: 2624
[mrm_dataitem]: size: 297992, offset: 4688
[mrm_dataitem]: size: 302680, offset: 2592
[mrm_dataitem]: size: 305272, offset: 2600
[mrm_dataitem]: size: 307872, offset: 2760
[mrm_dataitem]: size: 310632, offset: 2336
[mrm_dataitem]: size: 312968, offset: 4720
[mrm_dataitem]: size: 317688, offset: 4600
[mrm_dataitem]: size: 322288, offset: 3848
[mrm_dataitem]: size: 326136, offset: 2680
[mrm_dataitem]: size: 328816, offset: 4440
[mrm_dataitem]: size: 333256, offset: 2760
[mrm_dataitem]: size: 336016, offset: 3088
[mrm_dataitem]: size: 339104, offset: 1864
[mrm_dataitem]: size: 340968, offset: 25040
[mrm_dataitem]: size: 366008, offset: 18521976
[mrm_dataitem]: size: 18887984, offset: 888
[mrm_dataitem]: size: 18888872, offset: 496
[mrm_dataitem]: size: 18889368, offset: 496
[mrm_dataitem]: size: 18889864, offset: 456
[mrm_dataitem]: size: 18890320, offset: 496
[mrm_dataitem]: size: 18890816, offset: 496
[mrm_dataitem]: size: 18891312, offset: 456
[mrm_dataitem]: size: 18891768, offset: 496
[mrm_dataitem]: size: 18892264, offset: 496
[mrm_dataitem]: size: 18892760, offset: 888
[mrm_dataitem]: size: 18893648, offset: 496
[mrm_dataitem]: size: 18894144, offset: 496
[mrm_dataitem]: size: 18894640, offset: 376
[mrm_dataitem]: size: 18895016, offset: 496
[mrm_dataitem]: size: 18895512, offset: 496
[mrm_dataitem]: size: 18896008, offset: 104
[mrm_dataitem]: size: 18896112, offset: 120
[mrm_dataitem]: size: 18896232, offset: 136
[mrm_dataitem]: size: 18896368, offset: 136
[mrm_dataitem]: size: 18896504, offset: 112
[mrm_dataitem]: size: 18896616, offset: 112
[mrm_dataitem]: size: 18896728, offset: 104
[mrm_dataitem]: size: 18896832, offset: 120
[mrm_dataitem]: size: 18896952, offset: 136
[mrm_dataitem]: size: 18897088, offset: 136
[mrm_dataitem]: size: 18897224, offset: 112
[mrm_dataitem]: size: 18897336, offset: 112
[mrm_dataitem]: size: 18897448, offset: 104
[mrm_dataitem]: size: 18897552, offset: 120
[mrm_dataitem]: size: 18897672, offset: 136
[mrm_dataitem]: size: 18897808, offset: 136
[mrm_dataitem]: size: 18897944, offset: 112
[mrm_dataitem]: size: 18898056, offset: 112
[mrm_dataitem]: size: 18898168, offset: 104
[mrm_dataitem]: size: 18898272, offset: 120
[mrm_dataitem]: size: 18898392, offset: 136
[mrm_dataitem]: size: 18898528, offset: 136
[mrm_dataitem]: size: 18898664, offset: 120
[mrm_dataitem]: size: 18898784, offset: 120
[mrm_dataitem]: size: 18898904, offset: 104
[mrm_dataitem]: size: 18899008, offset: 120
[mrm_dataitem]: size: 18899128, offset: 136
[mrm_dataitem]: size: 18899264, offset: 136
[mrm_dataitem]: size: 18899400, offset: 112
[mrm_dataitem]: size: 18899512, offset: 112
[mrm_dataitem]: size: 18899624, offset: 104
[mrm_dataitem]: size: 18899728, offset: 120
[mrm_dataitem]: size: 18899848, offset: 136
[mrm_dataitem]: size: 18899984, offset: 136
[mrm_dataitem]: size: 18900120, offset: 112
[mrm_dataitem]: size: 18900232, offset: 112
[mrm_dataitem]: size: 18900344, offset: 104
[mrm_dataitem]: size: 18900448, offset: 120
[mrm_dataitem]: size: 18900568, offset: 136
[mrm_dataitem]: size: 18900704, offset: 136
[mrm_dataitem]: size: 18900840, offset: 112
[mrm_dataitem]: size: 18900952, offset: 112
[mrm_dataitem]: size: 18901064, offset: 104
[mrm_dataitem]: size: 18901168, offset: 120
[mrm_dataitem]: size: 18901288, offset: 136
[mrm_dataitem]: size: 18901424, offset: 136
[mrm_dataitem]: size: 18901560, offset: 112
[mrm_dataitem]: size: 18901672, offset: 112
[mrm_dataitem]: size: 18901784, offset: 104
[mrm_dataitem]: size: 18901888, offset: 120
[mrm_dataitem]: size: 18902008, offset: 136
[mrm_dataitem]: size: 18902144, offset: 136
[mrm_dataitem]: size: 18902280, offset: 112
[mrm_dataitem]: size: 18902392, offset: 112
[mrm_dataitem]: size: 18902504, offset: 104
[mrm_dataitem]: size: 18902608, offset: 120
[mrm_dataitem]: size: 18902728, offset: 136
[mrm_dataitem]: size: 18902864, offset: 136
[mrm_dataitem]: size: 18903000, offset: 112
[mrm_dataitem]: size: 18903112, offset: 112
[mrm_dataitem]: size: 18903224, offset: 104
[mrm_dataitem]: size: 18903328, offset: 120
[mrm_dataitem]: size: 18903448, offset: 136
[mrm_dataitem]: size: 18903584, offset: 136
[mrm_dataitem]: size: 18903720, offset: 112
[mrm_dataitem]: size: 18903832, offset: 112
[mrm_dataitem]: size: 18903944, offset: 104
[mrm_dataitem]: size: 18904048, offset: 120
[mrm_dataitem]: size: 18904168, offset: 136
[mrm_dataitem]: size: 18904304, offset: 136
[mrm_dataitem]: size: 18904440, offset: 112
[mrm_dataitem]: size: 18904552, offset: 112
[mrm_dataitem]: size: 18904664, offset: 104
[mrm_dataitem]: size: 18904768, offset: 120
[mrm_dataitem]: size: 18904888, offset: 136
[mrm_dataitem]: size: 18905024, offset: 136
[mrm_dataitem]: size: 18905160, offset: 112
[mrm_dataitem]: size: 18905272, offset: 112
[mrm_dataitem]: size: 18905384, offset: 104
[mrm_dataitem]: size: 18905488, offset: 120
[mrm_dataitem]: size: 18905608, offset: 136
[mrm_dataitem]: size: 18905744, offset: 136
[mrm_dataitem]: size: 18905880, offset: 112
[mrm_dataitem]: size: 18905992, offset: 112
[mrm_decn_info]: size: 4376, offset: 0
[mrm_pridescex]: size: 400, offset: 0
[mrm_hschemaex]: size: 54576, offset: 0
[def_hnamesx]: size: 4089234841, offset: 448
size1: 144, size2: 54360
[mrm_res_map2_]: size: 93280, offset: 0
[mrm_dataitem]: size: 2784, offset: 0
[mrm_dataitem]: size: 3200, offset: 0
[mrm_dataitem]: size: 1888, offset: 0
[mrm_dataitem]: size: 3360, offset: 0
[mrm_dataitem]: size: 3648, offset: 0
[mrm_dataitem]: size: 4552, offset: 0
[mrm_dataitem]: size: 2664, offset: 0
[mrm_dataitem]: size: 2056, offset: 0
[mrm_dataitem]: size: 3000, offset: 0
[mrm_dataitem]: size: 2720, offset: 0
[mrm_dataitem]: size: 2808, offset: 0
[mrm_dataitem]: size: 2760, offset: 0
[mrm_dataitem]: size: 2512, offset: 0
[mrm_dataitem]: size: 2768, offset: 0
[mrm_dataitem]: size: 4888, offset: 0
[mrm_dataitem]: size: 2240, offset: 0
[mrm_dataitem]: size: 2672, offset: 0
[mrm_dataitem]: size: 1016, offset: 0
[mrm_dataitem]: size: 2584, offset: 0
[mrm_dataitem]: size: 2624, offset: 0
[mrm_dataitem]: size: 3544, offset: 0
[mrm_dataitem]: size: 2648, offset: 0
[mrm_dataitem]: size: 2448, offset: 0
[mrm_dataitem]: size: 2936, offset: 0
[mrm_dataitem]: size: 1368, offset: 0
[mrm_dataitem]: size: 2088, offset: 0
[mrm_dataitem]: size: 3176, offset: 0
[mrm_dataitem]: size: 4024, offset: 0
[mrm_dataitem]: size: 1864, offset: 0
[mrm_dataitem]: size: 2456, offset: 0
[mrm_dataitem]: size: 2560, offset: 0
[mrm_dataitem]: size: 2768, offset: 0
[mrm_dataitem]: size: 4600, offset: 0
[mrm_dataitem]: size: 4104, offset: 0
[mrm_dataitem]: size: 4352, offset: 0
[mrm_dataitem]: size: 4432, offset: 0
[mrm_dataitem]: size: 2472, offset: 0
[mrm_dataitem]: size: 4168, offset: 0
[mrm_dataitem]: size: 2888, offset: 0
[mrm_dataitem]: size: 2912, offset: 0
[mrm_dataitem]: size: 4168, offset: 0
[mrm_dataitem]: size: 4808, offset: 0
[mrm_dataitem]: size: 1984, offset: 0
[mrm_dataitem]: size: 2208, offset: 0
[mrm_dataitem]: size: 2368, offset: 0
[mrm_dataitem]: size: 1472, offset: 0
[mrm_dataitem]: size: 2704, offset: 0
[mrm_dataitem]: size: 2464, offset: 0
[mrm_dataitem]: size: 2008, offset: 0
[mrm_dataitem]: size: 2624, offset: 0
[mrm_dataitem]: size: 4688, offset: 0
[mrm_dataitem]: size: 2592, offset: 0
[mrm_dataitem]: size: 2600, offset: 0
[mrm_dataitem]: size: 2760, offset: 0
[mrm_dataitem]: size: 2336, offset: 0
[mrm_dataitem]: size: 4720, offset: 0
[mrm_dataitem]: size: 4600, offset: 0
[mrm_dataitem]: size: 3848, offset: 0
[mrm_dataitem]: size: 2680, offset: 0
[mrm_dataitem]: size: 4440, offset: 0
[mrm_dataitem]: size: 2760, offset: 0
[mrm_dataitem]: size: 3088, offset: 0
[mrm_dataitem]: size: 1864, offset: 0
